Time_I,Intensity,Time_L,Laser,Time_V,Vert_Emit,Time_H,Horz_Emit,Time_C,Linac_Current
Wed Feb 24 09:20:01.563,-0.024943352,Wed Feb 24 09:20:11.041,88,Wed Feb 24 09:20:02.885,0,Wed Feb 24 09:20:02.885,0,Wed Feb 24 09:20:01.523,-0.0030376
Wed Feb 24 09:20:03.963,-0.024943352,Wed Feb 24 09:20:26.042,88,Wed Feb 24 09:20:12.886,0,Wed Feb 24 09:20:12.886,0,Wed Feb 24 09:20:03.923,-0.0030376
Wed Feb 24 09:20:08.963,-0.024943352,Wed Feb 24 09:20:41.042,88,Wed Feb 24 09:20:22.886,0,Wed Feb 24 09:20:22.886,0,Wed Feb 24 09:20:08.923,-0.0030376
Wed Feb 24 09:20:11.564,-0.024943352,Wed Feb 24 09:20:56.043,88,Wed Feb 24 09:20:28.288,15.05932903,Wed Feb 24 09:20:28.288,13.62533474,Wed Feb 24 09:20:11.524,-0.0030376
Wed Feb 24 09:20:13.964,-0.019954681,Wed Feb 24 09:21:11.042,88,Wed Feb 24 09:20:32.886,15.08016491,Wed Feb 24 09:20:32.886,13.5490551,Wed Feb 24 09:20:13.924,-0.0030376
Wed Feb 24 09:20:18.964,-0.024943352,Wed Feb 24 09:21:26.039,88,Wed Feb 24 09:20:42.886,15.32257748,Wed Feb 24 09:20:42.886,13.71168041,Wed Feb 24 09:20:18.924,-0.0030376
Wed Feb 24 09:20:18.964,-0.024943352,Wed Feb 24 09:21:41.037,88,Wed Feb 24 09:20:52.887,15.3451128,Wed Feb 24 09:20:52.887,13.6639328,Wed Feb 24 09:20:18.991,-0.0030376
Wed Feb 24 09:20:21.564,4.380052567,Wed Feb 24 09:21:56.038,88,Wed Feb 24 09:21:02.888,15.01925659,Wed Feb 24 09:21:02.888,14.15880489,Wed Feb 24 09:20:21.524,21.60948821
Wed Feb 24 09:20:21.631,4.444905281,Wed Feb 24 09:22:11.041,88,Wed Feb 24 09:21:12.887,14.9655323,Wed Feb 24 09:21:12.887,13.55457497,Wed Feb 24 09:20:21.591,21.5396234
Wed Feb 24 09:20:23.164,4.419961929,Wed Feb 24 09:22:26.042,88,Wed Feb 24 09:21:22.884,15.21688271,Wed Feb 24 09:21:22.884,13.90469074,Wed Feb 24 09:20:23.124,21.63986421
Wed Feb 24 09:20:23.231,4.330165863,Wed Feb 24 09:22:41.040,108,Wed Feb 24 09:21:28.285,15.00139427,Wed Feb 24 09:21:28.285,13.55668831,Wed Feb 24 09:20:23.191,21.40596899
Wed Feb 24 09:20:23.964,4.419961929,Wed Feb 24 09:22:56.037,128,Wed Feb 24 09:21:32.882,15.07965374,Wed Feb 24 09:21:32.882,13.6241169,Wed Feb 24 09:20:23.924,21.5456986
Wed Feb 24 09:20:24.031,4.404995918,Wed Feb 24 09:23:11.033,130,Wed Feb 24 09:21:42.881,15.07099247,Wed Feb 24 09:21:42.881,13.42486477,Wed Feb 24 09:20:23.991,21.5456986
Wed Feb 24 09:20:28.964,4.400007248,Wed Feb 24 09:23:26.032,130,Wed Feb 24 09:21:52.882,15.24776554,Wed Feb 24 09:21:52.882,13.66676521,Wed Feb 24 09:20:28.924,21.64897701
Wed Feb 24 09:20:28.964,4.414973259,Wed Feb 24 09:23:41.032,130,Wed Feb 24 09:22:02.883,15.22542763,Wed Feb 24 09:22:02.883,13.84658718,Wed Feb 24 09:20:28.991,21.68846581
Wed Feb 24 09:20:31.564,4.479825974,Wed Feb 24 09:23:56.028,130,Wed Feb 24 09:22:12.885,15.12566376,Wed Feb 24 09:22:12.885,13.67330265,Wed Feb 24 09:20:31.524,21.64897701
Wed Feb 24 09:20:31.631,4.469848633,Wed Feb 24 09:24:11.024,130,Wed Feb 24 09:22:22.886,15.46813774,Wed Feb 24 09:22:22.886,14.43281555,Wed Feb 24 09:20:31.591,21.5517738
Wed Feb 24 09:20:33.964,4.355109215,Wed Feb 24 09:24:26.023,130,Wed Feb 24 09:22:28.288,0,Wed Feb 24 09:22:28.288,0,Wed Feb 24 09:20:33.924,21.22371298
Wed Feb 24 09:20:33.964,4.414973259,Wed Feb 24 09:24:41.022,130,Wed Feb 24 09:22:32.886,0,Wed Feb 24 09:22:32.886,0,Wed Feb 24 09:20:33.991,21.5092474
Wed Feb 24 09:20:38.964,4.43492794,Wed Feb 24 09:24:56.021,130,Wed Feb 24 09:22:42.884,15.18140602,Wed Feb 24 09:22:42.884,13.55946159,Wed Feb 24 09:20:38.924,21.39381859
Wed Feb 24 09:20:39.031,4.484814644,Wed Feb 24 09:25:11.022,130,Wed Feb 24 09:22:52.882,15.31739712,Wed Feb 24 09:22:52.882,13.69187832,Wed Feb 24 09:20:38.991,21.5396234
Wed Feb 24 09:20:41.564,4.404995918,Wed Feb 24 09:25:26.023,130,Wed Feb 24 09:23:02.880,15.07814884,Wed Feb 24 09:23:02.880,13.55038071,Wed Feb 24 09:20:41.524,21.5335482
Wed Feb 24 09:20:41.631,4.414973259,Wed Feb 24 09:25:41.022,130,Wed Feb 24 09:23:12.878,15.13938904,Wed Feb 24 09:23:12.878,13.62368298,Wed Feb 24 09:20:41.591,21.22371298
Wed Feb 24 09:20:43.964,4.449893951,Wed Feb 24 09:25:56.020,130,Wed Feb 24 09:23:22.877,15.14737988,Wed Feb 24 09:23:22.877,13.80970478,Wed Feb 24 09:20:43.924,21.5548114
Wed Feb 24 09:20:44.031,4.335154533,Wed Feb 24 09:26:11.019,130,Wed Feb 24 09:23:28.279,15.356637,Wed Feb 24 09:23:28.279,13.74681091,Wed Feb 24 09:20:43.991,21.27838978
Wed Feb 24 09:20:48.964,4.469848633,Wed Feb 24 09:26:26.016,130,Wed Feb 24 09:23:32.877,14.93182755,Wed Feb 24 09:23:32.877,13.36749268,Wed Feb 24 09:20:48.924,21.5244354
Wed Feb 24 09:20:48.964,4.439916611,Wed Feb 24 09:26:41.013,130,Wed Feb 24 09:23:42.876,15.2838192,Wed Feb 24 09:23:42.876,13.66111565,Wed Feb 24 09:20:48.991,21.62771381
